nom_complet_taxon_referentiel;nom_valide
Centaurea uniflora Turra subsp. uniflora;Centaurea uniflora Turra, 1765
Centaurium;Centaurium Hill, 1756
Centaurium erythraea Raf., 1800;Centaurium erythraea Rafn, 1800
Centaurium spicatum (L.) Fritsch ex Janch., 1907;Schenkia spicata (L.) Mansion, 2004
Cephalaria squamiflora (Sieber) Greuter subsp. mediterranea (V.) Pi.;Cephalaria squamiflora subsp. mediterranea (Viv.) Pignatti
Cerastium arvense subsp. strictum (W.D.J.Koch) Gremli, 1878;Cerastium arvense subsp. strictum Gaudin, 1828
Cerastium glutinosum Fr., 1817;Cerastium pumilum var. glutinosum (Fr.) Beck, 1906
Cerastium pumilum Curtis subsp. pumilum;Cerastium pumilum var. pumilum 
Cerastium semidecandrum L. subsp. semidecandrum;Cerastium semidecandrum var. semidecandrum 
Ceratocapnos claviculata (L.) Lidén subsp. claviculata;Ceratocapnos claviculata (L.) Lidén, 1984
Ceratocephalus falcatus (L.) Pers., 1805;Ceratocephala falcata (L.) Pers., 1805
Chaenomeles;Chaenomeles Lindley, 1821
Chaenomeles japonica (Thunb.) Lindl. ex Spach;Chaenomeles japonica (Thunb.) Lindl. ex Spach, 1834
Chaenomeles speciosa (Sweet) Nakai;Chaenomeles speciosa (Sweet) Nakai, 1929
Chaenomeles x superba (Frahm) Rehder;Chaenomeles x superba (Frahm) Rehder, 1920
Chaenorrhinum Rchb., 1828;Chaenorrhinum (DC.) Rchb., 1828
Chameleon gummifer (L.) Cass., 1827;Carlina gummifera (L.) Less., 1832
Chartolepis glastifolia (L.) Cass., 1826;Centaurea glastifolia L., 1753
Cheilanthes acrostica (Balb.) Tod., 1866;Allosorus acrosticus (Balb.) Christenh., 2012
Cheilanthes guanchica Bolle, 1859;Allosorus guanchicus (Bolle) Christenh., 2012
Cheilanthes hispanica Mett., 1859;Allosorus hispanicus (Mett.) Christenh., 2012
Cheilanthes maderensis Lowe, 1838;Allosorus pteridioides (Reichard) Christenh., 2012
Cheilanthes tinaei Tod., 1886;Allosorus tinaei (Tod.) Christenh., 2012
Cheilanthes x iberica Rasbach & Reichst., 1982;Allosorus x ibericus (Rasbach & Reichst.) B.Bock
Cheilanthes x kochiana Rasbach, Reichst. & Schneller, 1983;Allosorus x kochianus (Rasbach, Reichst. & Schneller) B.Bock
Chelidonium majus L. var. majus;Chelidonium majus f. majus 
Chenopodium bonus-henricus L., 1753;Blitum bonus-henricus (L.) C.A.Mey., 1829
Chenopodium capitatum (L.) Ambrosi, 1857;Blitum capitatum L., 1753
Chenopodium chenopodioides (L.) Aellen, 1933;Oxybasis chenopodioides (L.) S.Fuentes, Uotila & Borsch, 2012
Chenopodium foliosum Asch., 1866;Blitum virgatum L., 1753
Chenopodium glaucum L., 1753;Oxybasis glauca (L.) S.Fuentes, Uotila & Borsch, 2012
Chenopodium hybridum L., 1753;Chenopodiastrum hybridum (L.) S.Fuentes, Uotila & Borsch, 2012
Chenopodium polyspermum L., 1753;Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch, 2012
Chenopodium polyspermum var. acutifolium (Sm.) Gaudin;Lipandra polysperma var. acutifolia (Sm.) B.Bock, 2012
Chenopodium rubrum L., 1753;Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch, 2012
Chenopodium rubrum var. intermedium (Mert. & W.D.J.Koch) Jauzein, 1993;Oxybasis rubra var. intermedia (Mert. & W.D.J.Koch) B.Bock & J.M.Tison, 2012
Chenopodium rubrum var. rubrum ;Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch, 2012
Chenopodium urbicum L., 1753;Oxybasis urbica (L.) S.Fuentes, Uotila & Borsch, 2012
Chenopodium x borbasii J.Murray, 1891;Chenopodium album subsp. borbasii (J.Murray) Soó
Chiliadenus saxatilis (Lam.) Brullo, 1979;Chiliadenus glutinosus Fourr., 1869
Chloris Swartz, 1788;Chloris Sw., 1788
Choisya ternata Kunth;Choisya ternata Kunth, 1823
Chondrilla acanthophylla Borkh., 1794;Chondrilla juncea L., 1753
Cichorium endivia L. subsp. endivia;Cichorium endivia var. endivia 
Cichorium endivia subsp. endivia (Crispus Gp.) ;Cichorium endivia var. crispum Lam., 1785
Cichorium endivia subsp. endivia (Latifolium Gp.) ;Cichorium endivia var. latifolium Lam.
Cichorium endivia subsp. pumilum (Jacq.) Cout., 1913;Cichorium pumilum Jacq., 1771
Circaea lutetiana L. subsp. lutetiana;Circaea lutetiana L., 1753
Cirsium acaule Scop., 1769;Cirsium acaulon (L.) Scop., 1769
Cirsium acaule Scop. subsp. acaule;Cirsium acaulon (L.) Scop., 1769
Cirsium Hill, 1753;Cirsium Mill., 1754
Cistus halimifolius subsp. halimifolius ;Cistus halimifolius var. halimifolius 
Citrullus Schrader, 1839;Citrullus Schrad., 1839
Clarkia;Clarkia Pursh, 1814
Clarkia amoena (Lehm.) A.Nelson & J.F.Macbr.;Clarkia amoena (Lehm.) A.Nelson & J.F.Macbr., 1918
Clarkia elegans Poir.;Clarkia pulchella Pursh, 1814
Clarkia pulchella Pursh;Clarkia pulchella Pursh, 1814
Clarkia unguiculata Lindl.;Clarkia unguiculata Lindl., 1837
Cleistogenes serotina (L.) Keng, 1934;Kengia serotina (L.) Packer, 1960
Cleome L.;Cleome L., 1753
Clinopodium ascendens (Jord.) Samp., 1913;Clinopodium nepeta subsp. ascendens (Jord.) B.Bock, 2012
Clinopodium menthifolium (Host) Stace, 1989;Clinopodium nepeta subsp. sylvaticum (Bromf.) B.Bock, 2012
Clinopodium x bellantiana (Bouchard) B.Bock;Clinopodium nepeta subsp. bellantianum (Bouchard) B.Bock, 2012
Cnicus benedictus L., 1753;Centaurea benedicta (L.) L., 1763
Cnicus L., 1753;Centaurea L., 1753
Cochlearia glastifolia L., 1753;Ionopsidium glastifolium (L.) M.Koch, 2012
Coincya cheiranthos (Vill.) Greuter & Burdet, 1983;Coincya monensis subsp. cheiranthos (Vill.) Aedo, Leadlay & Muñoz Garm., 1993
Coincya cheiranthos (Vill.) Greuter & Burdet subsp. cheiranthos;Coincya monensis subsp. cheiranthos (Vill.) Aedo, Leadlay & Muñoz Garm., 1993
Conringia Fabr., 1759;Conringia Heist. ex Fabr., 1759
Conringia orientalis (L.) Dumort., 1829;Conringia orientalis (L.) Dumort., 1827
Consolida ajacis (L.) Schur, 1853;Delphinium ajacis L., 1753
Consolida hispanica (Costa) Greuter & Burdet, 1989;Delphinium orientale J.Gay, 1840
Consolida pubescens (DC.) Soó, 1922;Delphinium pubescens DC., 1815
Consolida regalis Gray, 1821;Delphinium consolida L., 1753
Consolida regalis Gray subsp. regalis;Delphinium consolida subsp. consolida 
Consolida S.F. Gray, 1821;Delphinium L., 1753
Convolvulaceae A.L. Jussieu, 1789;Convolvulaceae Juss., 1789
Convolvulus althaeoides L. subsp. althaeoides;Convolvulus althaeoides L., 1753
Convolvulus althaeoides subsp. tenuissimus (Sm.) Stace, 1971;Convolvulus elegantissimus Mill., 1768
Convolvulus siculus L. subsp. siculus;Convolvulus siculus L., 1753
Conyza bonariensis (L.) Cronquist, 1943;Erigeron bonariensis L., 1753
Conyza canadensis (L.) Cronquist, 1943;Erigeron canadensis L., 1753
Coronilla repanda Boiss.;Coronilla repanda Boiss., 1856
Coronilla valentina L. subsp. valentina;Coronilla valentina L., 1753
Coronilla valentina subsp. glauca (L.) Batt., 1889;Coronilla glauca L., 1755
Corrigiola;Corrigiola L., 1753
Cortusa matthioli L., 1753;Primula matthioli (L.) J.A.Richt., 1894
Corylus colurna L.;Corylus colurna L., 1753
Corynephorus divaricatus subsp. articulatus (Desf.) Laínz, 1974;Corynephorus articulatus (Desf.) P.Beauv., 1812
Corynephorus divaricatus subsp. divaricatus ;Corynephorus divaricatus (Pourr.) Breistr., 1950
Corynephorus divaricatus var. littoralis (H.J.Coste) Breistr. ex Litard., 1953;Corynephorus articulatus var. littoralis (H.J.Coste) Hack., 1910
Cotoneaster atlanticus G.Klotz, 1963;Cotoneaster nebrodensis (Guss.) K.Koch, 1853
Cotoneaster hjelmqvistii Flinck & Hylmö, 1991;Cotoneaster hjelmqvistii Flinck & B.Hylmö, 1991
Cotoneaster lacteus W.W.Sm., 1917;Cotoneaster coriaceus Franch., 1890
Cotoneaster rehderi Pojark, 1955;Cotoneaster bullatus Bois var. macrophyllus Rehder & E.H.Wilson
Crassulaceae J.H. Saint-Hilaire, 1805;Crassulaceae J.St.-Hil., 1805
Crataegus laevigata (Poir.) DC. subsp. laevigata;Crataegus laevigata (Poir.) DC., 1825
Crataegus monogyna Jacq. subsp. monogyna;Crataegus monogyna Jacq., 1775
Crataegus rhipidophylla Gand., 1872;Crataegus x subsphaerica Gand., 1872
Crataegus rhipidophylla Gand. var. rhipidophylla;Crataegus rosiformis Janka, 1874
Crataegus rhipidophylla var. lindmanii (Hrabetová) K.I.Chr., 1992;Crataegus rosiformis Janka, 1874
Crepis bellidifolia Loisel.;Crepis bellidifolia Loisel., 1807
Crepis capillaris (L.) Wallr. var. agrestis (Waldst. & Kit.) Schinz & Thell.;Crepis capillaris (L.) Wallr., 1840
Crepis capillaris (L.) Wallr. var. capillaris;Crepis capillaris (L.) Wallr., 1840
Crepis mollis (Jacq.) Asch., 1866;Crepis mollis (Jacq.) Asch., 1864
Crocus chrysanthus (Herb.) Herb.;Crocus chrysanthus (Herb.) Herb., 1843
Crocus tommasinianus Herb.;Crocus tommasinianus Herb., 1847
Cryptomeria D. Don, 1841;Cryptomeria D.Don, 1841
Cucubalus baccifer L., 1753;Silene baccifera (L.) Roth, 1788
Cucubalus L., 1753;Silene L., 1753
Cullen americanus (L.) Rydb., 1919;Cullen americanum (L.) Rydb., 1919
Cuscuta planiflora subsp. godronii (Des Moul.) Kerguélen, 1987;Cuscuta planiflora var. godronii (Des Moul.) Rouy, 1908
Cyanus triumfettii subsp. axillaris (Willd.) Á.Löve & D.Löve, 1961;Cyanus graminifolius (Lam.) Olavská
Cyanus triumfettii subsp. lugdunensis (Jord.) auct.;Cyanus lugdunensis (Jord.) Fourr.
Cyanus triumfettii subsp. semidecurrens (Jord.) auct.;Cyanus semidecurrens (Jord.) Holub
Cyanus triumfettii subsp. triumfettii ;Cyanus triumfettii (All.) Dostál ex Á.Löve & D.Löve, 1961
Cyclamen purpurascens Mill. subsp. purpurascens;Cyclamen purpurascens Mill., 1768
Cyclamen repandum Sm. subsp. repandum;Cyclamen repandum Sm., 1806
Cyclospermum leptophyllum (Pers.) Sprague ex Britton & Wilson, 1925;Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson, 1925
Cyperus esculentus L. subsp. esculentus;Cyperus esculentus L., 1753
Cyperus longus L. subsp. longus;Cyperus longus L., 1753
Cyperus longus subsp. badius (Desf.) Bonnier & Layens, 1894;Cyperus badius Desf., 1798
Cyperus michelianus (L.) Link subsp. michelianus;Cyperus michelianus (L.) Link, 1827
Cyrtomium C. Presl, 1836;Cyrtomium C.Presl, 1836
Cytinus hypocistis subsp. clusii Nyman, 1878;Cytinus ruber Fritsch, 1922
Cytisus ardoini E.Fourn., 1866;Cytisus ardoinoi E.Fourn., 1866
Cytisus scoparius (L.) Link subsp. scoparius;Cytisus scoparius var. scoparius 
Cytisus scoparius subsp. cantabricus (Willk.) Rivas Mart. & al., 1971;Cytisus cantabricus (Willk.) Rchb.f. & Beck, 1903
Cytisus striatus (Hill) Rothm. subsp. striatus;Cytisus striatus (Hill) Rothm., 1944
Dactyloctenium Willd.;Dactyloctenium Willd., 1809
Dactylorhiza brennensis (E.Nelson) D.Tyteca & Gathoye, 1988;Dactylorhiza elata subsp. brennensis E.Nelson, 1976
Dactylorhiza fuchsii (Druce) Soó subsp. fuchsii;Dactylorhiza fuchsii var. fuchsii 
Dactylorhiza fuchsii subsp. psychrophila (Schltr.) Holub, 1964;Dactylorhiza fuchsii var. psychrophila (Schltr.) Soó, 1962
Dactylorhiza incarnata subsp. pulchella (Druce) Soó, 1962;Dactylorhiza incarnata var. serotina Hausskn.
Dactylorhiza lapponica (Laest.) Soó, 1962;Dactylorhiza traunsteineri subsp. lapponica (Laest.) Soó, 1978
Dactylorhiza Nevski, 1937;Dactylorhiza Neck. ex Nevski, 1937
Dactylorhiza ochroleuca (Wüstnei ex Böll) Holub, 1974;Dactylorhiza incarnata var. straminea (Rchb.f.) Soó
Dactylorhiza sambucina subsp. sambucina ;Dactylorhiza sambucina (L.) Soó, 1962
Dactylorhiza x mixtum (Asch. & Graebn.) B.Bock;Dactylorhiza x mixta (Asch. & Graebn.) B.Bock, 2012
Damasonium alisma Mill. subsp. polyspermum (Coss.) Maire;Damasonium polyspermum Coss., 1849
Danae laurus Medik.;Danae racemosa (L.) Moench, 1794
Datura stramonium L. subsp. stramonium;Datura stramonium L., 1753
Datura stramonium var. inermis (Juss. ex Jacq.) Schinz & Thell.;Datura stramonium f. inermis (Juss. ex Jacq.) Hupke
Datura stramonium var. stramonium ;Datura stramonium f. stramonium 
Daucus carota subsp. sativus Schübl. & G.Martens, 1834;Daucus carota subsp. sativus (Hoffm.) Schübl. & G.Martens, 1834
Delphinium pictum subsp. requienii (DC.) Arcang., 1882;Staphisagria picta subsp. requienii (DC.) B.Bock, 2012
Delphinium pictum Willd., 1809;Staphisagria picta (Willd.) E.Jabbour, 2011
Delphinium pictum Willd. subsp. pictum;Staphisagria picta subsp. picta 
Delphinium staphisagria L., 1753;Staphisagria macrosperma Spach, 1838
Dendranthema ;Dendranthema (DC.) Des Moul.
Dendranthema indicum (L.) Des Moul., 1855;Chrysanthemum indicum L., 1753
Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa;Deschampsia cespitosa subsp. cespitosa 
Deschampsia cespitosa subsp. convoluta (Rouy) P.Fourn., 1928;Deschampsia cespitosa subsp. subtriflora (Lag.) Ehr.Bayer & G.López, 1994
Deschampsia cespitosa subsp. littoralis Gremli, 1878;Deschampsia cespitosa subsp. rhenana (Gremli) Kerguélen, 1983
Deschampsia flexuosa (L.) Trin., 1836;Avenella flexuosa (L.) Drejer, 1838
Deschampsia flexuosa (L.) Trin. subsp. flexuosa;Avenella flexuosa subsp. flexuosa 
Deschampsia P. Beauv., 1812;Deschampsia P.Beauv., 1812
Deschampsia setacea (Huds.) Hack., 1880;Aristavena setacea (Huds.) F.Albers & Butzin, 1977
Dianthus caryophyllus subsp. longicaulis (Ten.) Arcang., 1894;Dianthus longicaulis Ten., 1819
Dianthus caryophyllus subsp. siculus (C.Presl) Arcang., 1894;Dianthus siculus C.Presl, 1822
Dianthus caryophyllus subsp. sylvestris (Wulfen) Rouy & Foucaud, 1896;Dianthus saxicola Jord., 1852
Dianthus caryophyllus var. godronianus (Jord.) B.Bock;Dianthus godronianus Jord., 1855
Dianthus hyssopifolius L. subsp. hyssopifolius;Dianthus hyssopifolius L., 1755
Dianthus hyssopifolius subsp. gallicus (Pers.) Laínz & Muñoz Garm., 1987;Dianthus gallicus Pers., 1805
Dianthus plumarius L.;Dianthus plumarius L., 1753
Dianthus seguieri subsp. peudocollinus (P.Fourn.) Jauzein, 2010;Dianthus seguieri subsp. pseudocollinus (P.Fourn.) Jauzein, 2010
Dianthus superbus subsp. silvestris Celak., 1875;Dianthus superbus subsp. autumnalis Oberd., 1979
Digitaria Wood`, 1853;Digitaria Haller, 1768
Doronicum x willdenowii (Rouy) A.W.Hill, 1926;Doronicum willdenowii (Rouy) A.W.Hill, 1926
Draba dubia Suter subsp. dubia;Draba dubia f. dubia 
Drosera anglica Huds., 1778;Drosera longifolia L., 1753
Dryopteris Adanson, 1763;Dryopteris Adans., 1763
Duchesnea indica (Andrews) Focke, 1888;Potentilla indica (Andrews)Th.Wolf, 1904
Duchesnea Sm., 1811;Potentilla L., 1753
Ecballium elaterium (L.) A.Rich. subsp. elaterium;Ecballium elaterium var. elaterium 
Echinochloa crus-galli (L.) P.Beauv. subsp. crus-galli;Echinochloa crus-galli (L.) P.Beauv., 1812
Echinochloa crus-galli subsp. hispidula (Retz.) Honda, 1930;Echinochloa hispidula (Retz.) Nees ex Royle, 1840
Echinochloa crus-galli var. crus-galli ;Echinochloa crus-galli (L.) P.Beauv., 1812
Echinochloa crus-galli var. mitis (Pursh) Peterm., 1838;Echinochloa crus-galli (L.) P.Beauv., 1812
Echinochloa muricata (P.Beauv.) Fernald subsp. muricata;Echinochloa muricata (P.Beauv.) Fernald, 1915
Echinochloa muricata subsp. microstachya (Wiegand) Jauzein, 1993;Echinochloa muricata var. microstachya Wiegand, 1921
Echinochloa P. Beauv., 1812;Echinochloa P.Beauv., 1812
Echinochloa phyllopogon (Stapf) Koso-Pol., 1940;Echinochloa oryzicola (Vasinger) Vasinger, 1934
Echinospartum horridum (Vahl) Rothm., 1941;Genista horrida (Vahl) DC., 1805
Elaeoselinum asclepium subsp. meoides (Desf.) Maire, 1932;Elaeoselinum meoides (Desf.) Koch ex DC., 1830
Elatine hydropiper L. subsp. hydropiper;Elatine hydropiper L., 1753
Elatine hydropiper subsp. macropoda (Guss.) O.Bolòs & Vigo, 1990;Elatine macropoda Guss., 1827
Eleocharis R. Br., 1810;Eleocharis R.Br., 1810
Eleusine coracana auct.;Eleusine coracana (L.) Gaertn., 1788
Eleusine Gaertner, 1788;Eleusine Gaertn., 1788
Eleusine indica (L.) Gaertn. subsp. africana (Kenn.-O'Byrne) S.M.Phillips;Eleusine africana Kenn.-O'Byrne, 1957
Eleusine indica (L.) Gaertn. subsp. indica;Eleusine indica (L.) Gaertn., 1788
Elide asparagoides (L.) Kerguélen, 1993;Asparagus asparagoides (L.) Druce, 1914
Elytrigia atherica (Link) Kerguélen ex Carreras, 1986;Elytrigia acuta (DC.) Tzvelev, 1973
Elytrigia campestris x Elytrigia repens ;Elytrigia x tallonii (Simonet) B.Bock, 2012
Elytrigia elongata subsp. scirpea (C.Presl) Kerguélen ex Carreras, 1986;Elytrigia scirpea (C.Presl) Holub, 1973
Elytrigia repens subsp. koeleri (Rouy) Holub, 1993;Elytrigia arenosa (Spenn.) H.Scholz, 1993
Elytrigia x acuta (DC.) Tzvelev, 1973;Elytrigia acuta (DC.) Tzvelev, 1973
Elytrigia x acuta subsp. obtusiuscula (Lange) Kerguélen, 1987;Elytrigia x duvalii subsp. obtusiuscula (Lange) B.Bock, 2012
Ephedra dubia Regel;Ephedra dubia Regel, 1879
Ephedra nebrodensis Tineo, 1844;Ephedra major Host, 1831
Epilobium angustifolium L. subsp. angustifolium;Epilobium angustifolium subsp. angustifolium 
Epipactis;Epipactis Zinn, 1757
Epipactis fibri Scappaticci & Robatsch, 1995;Epipactis fibri Scappat. & Robatsch, 1995
Epipactis helleborine subsp. orbicularis (K.Richt.) E.Klein, 1997;Epipactis helleborine (L.) Crantz, 1769
Epipactis neerlandica (Verm.) Devillers-Tersch. & Devillers, 1991;Epipactis helleborine subsp. neerlandica (Verm.) Buttler, 1986
Epipactis viridiflora (Hoffm.) Krock., 1814;Epipactis purpurata Sm., 1828
Epipogium Borckh., 1792;Epipogium J.G. Gmelin ex Borckh., 1792
Equisetum x trachyodon (A.Braun) W.D.J.Koch, 1845;Equisetum x mackayi (Newman) Brichan, 2009
Eragrostis N.M. Wolf, 1776;Eragrostis Wolf, 1776
Eragrostis pilosa (L.) P.Beauv. subsp. pilosa;Eragrostis pilosa (L.) P.Beauv., 1812
Eragrostis pilosa subsp. felzinesii Portal, 2002;Eragrostis tephrosanthos Schult., 1824
Eragrostis virescens C.Presl, 1830;Eragrostis virescens J.Presl in C.Presl, 1830
Erianthus ravennae (L.) P.Beauv., 1812;Tripidium ravennae (L.) H.Scholz, 2006
Erica;Erica L., 1753
Erica herbacea L., 1753;Erica carnea L., 1753
Erigeron annuus (L.) Desf. subsp. annuus;Erigeron annuus var. annuus 
Erigeron annuus subsp. strigosus (Mühl. ex Willd.) Wagenitz, 1965;Erigeron strigosus Mühl. ex Willd., 1803
Erigeron aragonensis Vierh., 1906;Erigeron uniflorus subsp. aragonensis (Vierh.) O.Bolòs & Vigo, 1983
Erigeron bilbaoanus (Rémy) Cabrera, 1939;Erigeron bilbaoanus (J.Rémy) Cabrera, 1939
Erigeron x mixta (Foucaud & Neyraut) B.Bock;Erigeron x foucaudi B.Bock, 2012
Eriochloa punctata (L.) Desv. ex Hamilt., 1825;Eriochloa punctata (L.) Desv. ex Ham., 1825
Erodium aethiopicum subsp. pilosum (Thuill.) Guitt., 1972;Erodium cicutarium subsp. bipinnatum (Cav.) Tourlet, 1907
Erodium botrys (Cav.) Bertol. var. botrys;Erodium botrys (Cav.) Bertol., 1817
Erodium cicutarium var. pimpinellifolium With.;Erodium cicutarium (L.) L'Her. subsp. cicutarium
Erodium crispum Lapeyr., 1813;Erodium foetidum (L.) L'Hér., 1802
Erodium lebelii subsp. marcuccii (Parl.) Guitt., 1972;Erodium cicutarium subsp. bipinnatum (Cav.) Tourlet, 1907
Erodium L'Hérit., 1789;Erodium L'Hér., 1789
Erophila DC., 1821;Draba L., 1753
Erophila verna (L.) Chevall., 1827;Draba verna L., 1753
Erophila verna (L.) Chevall. subsp. verna;Draba verna var. verna 
Erophila verna subsp. praecox (Steven) Em.Schmid, 1919;Draba verna var. praecox (Steven) B.Bock, 2012
Erophila verna subsp. spathulata (Láng) Vollm., 1914;Draba verna var. spathulata (Láng) B.Bock, 2012
Erucastrum varium (Durieu) Durieu;Erucastrum varium (Durieu) Durieu, 1849
Erysimum ruscinonense Jord., 1864;Erysimum nevadense subsp. collisparsum (Jord.) P.W.Ball, 1990
Erysimum seipkae Polatschek, 1979;Erysimum duriaei subsp. pyrenaicum (Nyman) P.W.Ball, 1990
Eucalyptus ficifolia F.J. Mueller;Corymbia ficifolia (F.Muell.) K.D.Hill & L.A.S.Johnson, 1995
Euphorbia angulata Jacq., 1789;Euphorbia dulcis subsp. angulata (Jacq.) Bonnier & Layens, 1894
Euphorbia exigua L. subsp. exigua;Euphorbia exigua L., 1753
Euphorbia graminifolia Vill., 1786;Euphorbia cyathophora Murray, 1786
Euphorbia hyberna L. subsp. hyberna;Euphorbia hyberna L., 1753
Euphorbia hyberna subsp. canutii (Parl.) Tutin, 1968;Euphorbia canutii Parl., 1869
Euphorbia hyberna subsp. insularis (Boiss.) Briq., 1936;Euphorbia insularis Boiss., 1860
Euphorbia pithyusa L. subsp. pithyusa;Euphorbia pithyusa L., 1753
Euphorbia pithyusa subsp. cupanii (Guss. ex Bertol.) A.R.Sm., 1968;Euphorbia cupanii Guss. ex Bertol., 1842
Euphorbia villosa Waldst. & Kit. ex Willd., 1799;Euphorbia illirica Lam., 1788
Euphrasia drosocalyx Freyn, 1885;Euphrasia minima f. drosocalyx (Freyn) Rouy, 1909
Euphrasia officinalis subsp. campestris (Jord.) Kerguélen & Lambinon, 1993;Euphrasia officinalis subsp. rostkoviana (Hayne) F.Towns., 1884
Euphrasia officinalis subsp. monticola Silverside, 1991;Euphrasia officinalis subsp. rostkoviana (Hayne) F.Towns., 1884
Euphrasia officinalis subsp. pratensis Schübler & G.Martens, 1834;Euphrasia officinalis subsp. rostkoviana (Hayne) F.Towns., 1884
Evonymus fortunei (Turcz.) Hand.-Mazz.;Euonymus fortunei (Turcz.) Hand.-Mazz., 1933
Fagopyrum Hill, 1753;Fagopyrum Mill., 1754
Festuca altissima All., 1789;Drymochloa sylvatica (Pollich) Holub, 1984
Festuca arundinacea Schreb., 1771;Schedonorus arundinaceus (Schreb.) Dumort., 1824
Festuca arundinacea Schreb. subsp. arundinacea;Schedonorus arundinaceus (Schreb.) Dumort., 1824
Festuca arundinacea subsp. fenas (Lag.) Arcang., 1894;Schedonorus interruptus (Desf.) Tzvelev, 1998
Festuca arundinacea subsp. mediterranea (Hack.) K.Richt., 1890;Schedonorus arundinaceus subsp. mediterraneus (Hack.) H.Scholz & Valdés, 2005
Festuca arundinacea subsp. uechtritziana (Wiesb.) Hack. ex Hegi, 1908;Schedonorus arundinaceus subsp. uechtritzianus (Wiesb.) H.Scholz & Valdés, 2007
Festuca arundinacea var. arundinacea ;Schedonorus arundinaceus (Schreb.) Dumort., 1824
Festuca arundinacea var. corsica (Hack.) Kerguélen, 1994;Schedonorus arundinaceus subsp. corsicus (Hack.) Foggi & Signorini, 2005
Festuca dimorpha Guss., 1826;Leucopoa dimorpha (Guss.) H.Scholz & Foggi
Festuca gigantea (L.) Vill., 1787;Schedonorus giganteus (L.) Holub, 1998
Festuca gracilior (Hack.) Markgr.-Dann., 1978;Festuca inops De Not.
Festuca halleri subsp. yvesii Kerguélen & Plonka, 1988;Festuca plonkae Foggi & Signorini, 2005
Festuca lambinonii Kerguélen, 1983;Festuca marginata subsp. alopecuroides (Hack.) K.Richt., 1890
Festuca longifolia subsp. pseudocostei Auquier & Kerguélen, 1978;Festuca patzkei Markgr.-Dann., 1978
Festuca longifolia Thuill. subsp. longifolia;Festuca longifolia Thuill., 1799
Festuca nigrescens Lam. subsp. nigrescens;Festuca nigrescens f. nigrescens 
Festuca nigrescens subsp. microphylla (St.-Yves) Markgr.-Dann., 1978;Festuca microphylla (St.-Yves) Patzke, 1964
Festuca niphobia (St.-Yves) Kerguélen, 1976;Festuca ovina subsp. molinieri (Litard.) O.Bolòs & Vigo, 2001
Festuca paniculata (L.) Schinz & Thell., 1913;Patzkea paniculata (L.) G.H.Loos, 2010
Festuca paniculata (L.) Schinz & Thell. subsp. paniculata;Patzkea paniculata (L.) G.H.Loos, 2010
Festuca paniculata subsp. spadicea (L.) Litard., 1945;Patzkea paniculata subsp. spadicea (L.) B.Bock, 2012
Festuca pratensis Huds., 1762;Schedonorus pratensis (Huds.) P.Beauv., 1812
Festuca pratensis Huds. subsp. pratensis;Schedonorus pratensis subsp. pratensis 
Festuca pratensis subsp. apennina (De Not.) Hegi, 1908;Schedonorus pratensis subsp. apenninus (De Not.) H.Scholz & Valdés, 2005
Festuca pulchella Schrad., 1806;Leucopoa pulchella (Schrad.) H.Scholz & Foggi
Festuca pulchella Schrad. subsp. pulchella;Leucopoa pulchella subsp. pulchella 
Festuca pulchella subsp. jurana (Gren.) Markgr.-Dann., 1981;Leucopoa pulchella subsp. jurana (Gren.) H.Scholz & Foggi
Festuca quadriflora Honck., 1782;Festuca pumila Chaix, 1785
Festuca rubra L. subsp. rubra;Festuca rubra subsp. rubra 
Festuca rubra subsp. arenaria (Osbeck) Aresch., 1866;Festuca arenaria Osbeck, 1788
Festuca rubra subsp. fallax (Thuill.) Nyman, 1882;Festuca heteromalla Pourr., 1788
Festuca rubra subsp. oraria Dumort., 1824;Festuca juncifolia Chaub., 1821
Festuca stricta subsp. trachyphylla (Hack.) Patzke, 1961;Festuca brevipila R.Tracey, 1977
Festuca x aschersoniana Dörfl., 1911;Schedonorus x aschersonianus (Dörfl.) Holub, 1998
Ficus religiosa L.;Ficus religiosa L., 1753
Filago gallica L., 1753;Logfia gallica (L.) Coss. & Germ., 1843
Filago minima (Sm.) Pers., 1807;Logfia minima (Sm.) Dumort., 1827
Filago pygmaea subsp. pygmaea ;Filago pygmaea L., 1753
Filago vulgaris Lam., 1779;Filago germanica L., 1763
Fragaria x ananassa (Weston) Duchesne, 1788;Fragaria x ananassa (Weston) Duchesne ex Rozier, 1785
Frankenia laevis L. subsp. laevis;Frankenia laevis L., 1753
Freesia Klatt, 1866;Freesia Eckl. ex Klatt, 1866
Fritillaria meleagris L. subsp. meleagris;Fritillaria meleagris L., 1753
Fritillaria nigra Mill., 1768;Fritillaria pyrenaica L., 1753
Fritillaria orientalis Adams, 1805;Fritillaria montana Hoppe, 1832
Fritillaria tubiformis f. burnatii (Planch.) B.Bock;Fritillaria burnatii (Planch.) Backh., 1879
Fritillaria tubiformis Gren. & Godr. subsp. tubiformis;Fritillaria tubiformis Gren. & Godr., 1855
